# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

CCTV-15,http://42.48.105.224:9002/tsfile/live/0015_1.m3u8
湖南卫视,http://42.48.105.224:9002/tsfile/live/1000_1.m3u8
安徽卫视,http://42.48.105.224:9002/tsfile/live/0130_1.m3u8
北京卫视,http://42.48.105.224:9002/tsfile/live/0122_1.m3u8
天津卫视,http://42.48.105.224:9002/tsfile/live/0135_1.m3u8
山东卫视,http://42.48.105.224:9002/tsfile/live/0107_1.m3u8
黑龙江卫视,http://42.48.105.224:9002/tsfile/live/0138_1.m3u8
深圳卫视,http://42.48.105.224:9002/tsfile/live/0126_1.m3u8
辽宁卫视,http://42.48.105.224:9002/tsfile/live/0121_1.m3u8
广东卫视,http://42.48.105.224:9002/tsfile/live/0125_1.m3u8
湖北卫视,http://42.48.105.224:9002/tsfile/live/0132_1.m3u8
贵州卫视,http://42.48.105.224:9002/tsfile/live/0120_1.m3u8
河北卫视,http://42.48.105.224:9002/tsfile/live/0117_1.m3u8
江苏卫视,http://42.48.105.224:9002/tsfile/live/0127_2.m3u8
浙江卫视,http://42.48.105.224:9002/tsfile/live/0124_2.m3u8
吉林卫视,http://42.48.105.224:9002/tsfile/live/0116_1.m3u8
宁夏卫视,http://42.48.105.224:9002/tsfile/live/0112_1.m3u8
江西卫视,http://42.48.105.224:9002/tsfile/live/0138_2.m3u8
东方卫视,http://42.48.105.224:9002/tsfile/live/0107_2.m3u8
东南卫视,http://42.48.105.224:9002/tsfile/live/0137_1.m3u8
四川卫视,http://42.48.105.224:9002/tsfile/live/0123_1.m3u8

CCTV-1,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8
CCTV-2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8
CCTV-3,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8
CCTV-4,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8
CCTV-5,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8
CCTV-6,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8
CCTV-7,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8
CCTV-8,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8
CCTV-9,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8
CCTV-10,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8
CCTV-11,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8
CCTV-12,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8
CCTV-13,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8
CCTV-14,http://110.81.206.138:49231/tsfile/live/23014_1.m3u8
CCTV-15,http://110.81.206.138:49231/tsfile/live/23015_1.m3u8
CCTV-17,http://110.81.206.138:49231/tsfile/live/23017_1.m3u8
CCTV-5,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8
东南卫视,http://110.81.206.138:49231/tsfile/live/23021_1.m3u8
湖南卫视,http://110.81.206.138:49231/tsfile/live/23034_1.m3u8
东方卫视,http://110.81.206.138:49231/tsfile/live/23035_1.m3u8
浙江卫视,http://110.81.206.138:49231/tsfile/live/23036_1.m3u8
江苏卫视,http://110.81.206.138:49231/tsfile/live/23037_1.m3u8
北京卫视,http://110.81.206.138:49231/tsfile/live/23038_1.m3u8
湖北卫视,http://110.81.206.138:49231/tsfile/live/23039_1.m3u8
广东卫视,http://110.81.206.138:49231/tsfile/live/23040_1.m3u8
深圳卫视,http://110.81.206.138:49231/tsfile/live/23041_1.m3u8
辽宁卫视,http://110.81.206.138:49231/tsfile/live/23042_1.m3u8
吉林卫视,http://110.81.206.138:49231/tsfile/live/23043_1.m3u8
黑龙江卫视,http://110.81.206.138:49231/tsfile/live/23044_1.m3u8
天津卫视,http://110.81.206.138:49231/tsfile/live/23045_1.m3u8
河北卫视,http://110.81.206.138:49231/tsfile/live/23046_1.m3u8
河南卫视,http://110.81.206.138:49231/tsfile/live/23047_1.m3u8
山东卫视,http://110.81.206.138:49231/tsfile/live/23048_1.m3u8
四川卫视,http://110.81.206.138:49231/tsfile/live/23049_1.m3u8
重庆卫视,http://110.81.206.138:49231/tsfile/live/23050_1.m3u8
贵州卫视,http://110.81.206.138:49231/tsfile/live/23051_1.m3u8
安徽卫视,http://110.81.206.138:49231/tsfile/live/23052_1.m3u8
江西卫视,http://110.81.206.138:49231/tsfile/live/23053_1.m3u8
云南卫视,http://110.81.206.138:49231/tsfile/live/23054_1.m3u8
广西卫视,http://110.81.206.138:49231/tsfile/live/23055_1.m3u8
甘肃卫视,http://110.81.206.138:49231/tsfile/live/23059_1.m3u8
青海卫视,http://110.81.206.138:49231/tsfile/live/23062_1.m3u8

CCTV-1,http://111.172.12.162:1111/tsfile/live/0001_1.m3u8
CCTV-2,http://111.172.12.162:1111/tsfile/live/0002_1.m3u8
CCTV-3,http://111.172.12.162:1111/tsfile/live/0003_1.m3u8
CCTV-4,http://111.172.12.162:1111/tsfile/live/0004_1.m3u8
CCTV-5,http://111.172.12.162:1111/tsfile/live/0005_1.m3u8
CCTV-6,http://111.172.12.162:1111/tsfile/live/0006_1.m3u8
CCTV-7,http://111.172.12.162:1111/tsfile/live/0007_1.m3u8
CCTV-8,http://111.172.12.162:1111/tsfile/live/0008_1.m3u8
CCTV-9,http://111.172.12.162:1111/tsfile/live/0009_1.m3u8
CCTV-10,http://111.172.12.162:1111/tsfile/live/0010_1.m3u8
CCTV-11,http://111.172.12.162:1111/tsfile/live/0011_1.m3u8
CCTV-12,http://111.172.12.162:1111/tsfile/live/0012_1.m3u8
CCTV-13,http://111.172.12.162:1111/tsfile/live/0013_1.m3u8
CCTV-14,http://111.172.12.162:1111/tsfile/live/0014_1.m3u8
CCTV-15,http://111.172.12.162:1111/tsfile/live/0015_1.m3u8
CCTV-17,http://111.172.12.162:1111/tsfile/live/0017_1.m3u8
湖北卫视,http://111.172.12.162:1111/tsfile/live/0018_1.m3u8
湖南卫视,http://111.172.12.162:1111/tsfile/live/0128_1.m3u8
江苏卫视,http://111.172.12.162:1111/tsfile/live/0127_1.m3u8
浙江卫视,http://111.172.12.162:1111/tsfile/live/0124_1.m3u8
北京卫视,http://111.172.12.162:1111/tsfile/live/0122_1.m3u8
东方卫视,http://111.172.12.162:1111/tsfile/live/0107_1.m3u8
深圳卫视,http://111.172.12.162:1111/tsfile/live/0126_1.m3u8
广东卫视,http://111.172.12.162:1111/tsfile/live/0125_1.m3u8
天津卫视,http://111.172.12.162:1111/tsfile/live/0135_1.m3u8
安徽卫视,http://111.172.12.162:1111/tsfile/live/0130_2.m3u8
辽宁卫视,http://111.172.12.162:1111/tsfile/live/0121_1.m3u8
山东卫视,http://111.172.12.162:1111/tsfile/live/0131_1.m3u8
黑龙江卫视,http://111.172.12.162:1111/tsfile/live/0143_1.m3u8
重庆卫视,http://111.172.12.162:1111/tsfile/live/0142_1.m3u8
东南卫视,http://111.172.12.162:1111/tsfile/live/0137_1.m3u8
河北卫视,http://111.172.12.162:1111/tsfile/live/0117_1.m3u8
河南卫视,http://111.172.12.162:1111/tsfile/live/0139_1.m3u8
四川卫视,http://111.172.12.162:1111/tsfile/live/0123_1.m3u8
广西卫视,http://111.172.12.162:1111/tsfile/live/0113_1.m3u8
贵州卫视,http://111.172.12.162:1111/tsfile/live/0120_1.m3u8
江西卫视,http://111.172.12.162:1111/tsfile/live/0138_1.m3u8
海南卫视,http://111.172.12.162:1111/tsfile/live/1007_1.m3u8
吉林卫视,http://111.172.12.162:1111/tsfile/live/0116_1.m3u8

CCTV-1,http://60.214.104.110:352/tsfile/live/0001_1.m3u8
CCTV-2,http://60.214.104.110:352/tsfile/live/0002_1.m3u8
CCTV-4,http://60.214.104.110:352/tsfile/live/0004_1.m3u8
CCTV-9,http://60.214.104.110:352/tsfile/live/0009_1.m3u8
CCTV-10,http://60.214.104.110:352/tsfile/live/0010_1.m3u8
CCTV-17,http://60.214.104.110:352/tsfile/live/0019_1.m3u8
湖北卫视,http://60.214.104.110:352/tsfile/live/0132_1.m3u8
湖南卫视,http://60.214.104.110:352/tsfile/live/0128_1.m3u8
浙江卫视,http://60.214.104.110:352/tsfile/live/0124_1.m3u8
东方卫视,http://60.214.104.110:352/tsfile/live/0107_1.m3u8
江苏卫视,http://60.214.104.110:352/tsfile/live/0127_1.m3u8
北京卫视,http://60.214.104.110:352/tsfile/live/0122_1.m3u8
深圳卫视,http://60.214.104.110:352/tsfile/live/0126_1.m3u8
江西卫视,http://60.214.104.110:352/tsfile/live/0138_1.m3u8
天津卫视,http://60.214.104.110:352/tsfile/live/0135_1.m3u8
山东卫视,http://60.214.104.110:352/tsfile/live/0131_1.m3u8
辽宁卫视,http://60.214.104.110:352/tsfile/live/0121_1.m3u8
贵州卫视,http://60.214.104.110:352/tsfile/live/0120_1.m3u8
河北卫视,http://60.214.104.110:352/tsfile/live/0117_1.m3u8
黑龙江卫视,http://60.214.104.110:352/tsfile/live/0143_1.m3u8
广东卫视,http://60.214.104.110:352/tsfile/live/0125_1.m3u8
重庆卫视,http://60.214.104.110:352/tsfile/live/0142_1.m3u8
东南卫视,http://60.214.104.110:352/tsfile/live/0137_1.m3u8

CCTV-1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8
CCTV-3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8
CCTV-6,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8
CCTV-10,http://59.39.89.130:60901/tsfile/live/0010_1.m3u8
CCTV-12,http://59.39.89.130:60901/tsfile/live/0012_1.m3u8
CCTV-13,http://59.39.89.130:60901/tsfile/live/0013_1.m3u8
湖北卫视,http://59.39.89.130:60901/tsfile/live/0125_12.m3u8
湖南卫视,http://59.39.89.130:60901/tsfile/live/0125_2.m3u8
安徽卫视,http://59.39.89.130:60901/tsfile/live/0125_6.m3u8
北京卫视,http://59.39.89.130:60901/tsfile/live/0125_7.m3u8
深圳卫视,http://59.39.89.130:60901/tsfile/live/0125_11.m3u8
江西卫视,http://59.39.89.130:60901/tsfile/live/0125_10.m3u8
辽宁卫视,http://59.39.89.130:60901/tsfile/live/0125_13.m3u8
四川卫视,http://59.39.89.130:60901/tsfile/live/0125_16.m3u8
贵州卫视,http://59.39.89.130:60901/tsfile/live/0125_15.m3u8
广东卫视,http://59.39.89.130:60901/tsfile/live/0125_1.m3u8
云南卫视,http://59.39.89.130:60901/tsfile/live/0125_18.m3u8
吉林卫视,http://59.39.89.130:60901/tsfile/live/0125_19.m3u8

CCTV-1,http://60.209.125.254:352/tsfile/live/0001_1.m3u8
CCTV-2,http://60.209.125.254:352/tsfile/live/0002_1.m3u8
CCTV-3,http://60.209.125.254:352/tsfile/live/0003_1.m3u8
CCTV-4,http://60.209.125.254:352/tsfile/live/0004_1.m3u8
CCTV-5,http://60.209.125.254:352/tsfile/live/0005_1.m3u8
CCTV-6,http://60.209.125.254:352/tsfile/live/0006_1.m3u8
CCTV-7,http://60.209.125.254:352/tsfile/live/0007_1.m3u8
CCTV-8,http://60.209.125.254:352/tsfile/live/0008_1.m3u8
CCTV-9,http://60.209.125.254:352/tsfile/live/0009_1.m3u8
CCTV-10,http://60.209.125.254:352/tsfile/live/0010_1.m3u8
CCTV-11,http://60.209.125.254:352/tsfile/live/0011_1.m3u8
CCTV-12,http://60.209.125.254:352/tsfile/live/0012_1.m3u8
CCTV-13,http://60.209.125.254:352/tsfile/live/0013_1.m3u8
CCTV-14,http://60.209.125.254:352/tsfile/live/0014_1.m3u8
CCTV-15,http://60.209.125.254:352/tsfile/live/0015_1.m3u8
CCTV-5,http://60.209.125.254:352/tsfile/live/0016_1.m3u8
CCTV-17,http://60.209.125.254:352/tsfile/live/0019_1.m3u8
山东卫视,http://60.209.125.254:352/tsfile/live/0131_1.m3u8
重庆卫视,http://60.209.125.254:352/tsfile/live/0142_1.m3u8
陕西卫视,http://60.209.125.254:352/tsfile/live/0136_1.m3u8
四川卫视,http://60.209.125.254:352/tsfile/live/0123_1.m3u8
河南卫视,http://60.209.125.254:352/tsfile/live/0139_1.m3u8
吉林卫视,http://60.209.125.254:352/tsfile/live/0116_1.m3u8
北京卫视,http://60.209.125.254:352/tsfile/live/0122_1.m3u8
江苏卫视,http://60.209.125.254:352/tsfile/live/0127_1.m3u8
浙江卫视,http://60.209.125.254:352/tsfile/live/0124_1.m3u8
湖南卫视,http://60.209.125.254:352/tsfile/live/0128_1.m3u8
安徽卫视,http://60.209.125.254:352/tsfile/live/0130_1.m3u8
湖北卫视,http://60.209.125.254:352/tsfile/live/0132_1.m3u8
辽宁卫视,http://60.209.125.254:352/tsfile/live/0121_1.m3u8
天津卫视,http://60.209.125.254:352/tsfile/live/0135_1.m3u8
河北卫视,http://60.209.125.254:352/tsfile/live/0117_1.m3u8
东方卫视,http://60.209.125.254:352/tsfile/live/0107_1.m3u8
东南卫视,http://60.209.125.254:352/tsfile/live/0137_1.m3u8
兵团卫视,http://60.209.125.254:352/tsfile/live/0113_1.m3u8
山西卫视,http://60.209.125.254:352/tsfile/live/0118_1.m3u8
广东卫视,http://60.209.125.254:352/tsfile/live/0125_1.m3u8
黑龙江卫视,http://60.209.125.254:352/tsfile/live/0143_1.m3u8
深圳卫视,http://60.209.125.254:352/tsfile/live/0126_1.m3u8
江西卫视,http://60.209.125.254:352/tsfile/live/0138_1.m3u8
贵州卫视,http://60.209.125.254:352/tsfile/live/0120_1.m3u8
青海卫视,http://60.209.125.254:352/tsfile/live/0140_1.m3u8
宁夏卫视,http://60.209.125.254:352/tsfile/live/0112_1.m3u8
甘肃卫视,http://60.209.125.254:352/tsfile/live/0141_1.m3u8
